%DLR Intertial Motion Unit recording log.  Contain the  information of the IMU .
Angular Velocity Covariance,0.000436332312999,0.0,0.0,0.0,0.000436332312999,0.0,0.0,0.0,0.000436332312999
Acceleration Covariance,0.0004,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0004
MessageSequence,SystemTimeSecs,SystemTimenSecs,TimeStampSecs,TimeStampnSecs,ROT_X,ROT_Y,ROT_Z,ROT_W,ROTVEL_X,ROTVEL_Y,ROTVEL_Z,ACC_X,ACC_Y,ACC_Z
1,1348766468,868640899,1348766468,868232011,0.421384821903,0.906831858875,0.00557547306003,0.00772824032468,-0.045484803617,-0.00892355386168,0.0180760137737,-0.0966855734587,0.0956337675452,-9.84812068939
2,1348766468,878559112,1348766468,878232002,0.421425527888,0.906811428839,0.00575667756896,0.00777287810064,-0.043295186013,0.00685602566227,0.00842582806945,-0.0966759175062,0.0932010561228,-9.84810256958
3,1348766468,888566017,1348766468,888242959,0.42148940928,0.906779861998,0.00591355899724,0.00787334487387,-0.0418682806194,-0.00544831901789,0.0145724611357,-0.106431975961,0.0980377569795,-9.84872055054
4,1348766468,898586034,1348766468,898227930,0.421509594273,0.906768470013,0.00605990135203,0.00799257914669,-0.0413204133511,-0.00918438006192,0.00472129369155,-0.0821383222938,0.098186776042,-9.85699653625
5,1348766468,908680915,1348766468,908292055,0.42155757241,0.906744574771,0.00620724608966,0.00805973720619,-0.0373994782567,-0.000186714940355,0.0110752247274,-0.0821021571755,0.098128862679,-9.84969615936
6,1348766468,918546915,1348766468,918220043,0.421581250551,0.906731934418,0.00635432386385,0.00812839830032,-0.0371072292328,-0.000299862935208,0.00573527393863,-0.101573251188,0.100484833121,-9.84844684601
7,1348766468,928545951,1348766468,928220987,0.421650200467,0.906698470383,0.00643359709435,0.00822198764056,-0.0272915586829,-0.0107571100816,0.0155269559473,-0.101607061923,0.115042500198,-9.84368515015
8,1348766468,938586950,1348766468,938218116,0.421622438836,0.906709485341,0.00659276195586,0.00830444171637,-0.0407188534737,-0.000547517382074,-0.00677955476567,-0.0991028994322,0.100434102118,-9.84100055695
9,1348766468,948606967,1348766468,948261976,0.421613500734,0.906711653183,0.00674755248206,0.00839669680792,-0.0409986786544,-0.00398667901754,-0.0014696723083,-0.0918461084366,0.0908599197865,-9.85752677917
10,1348766468,958626031,1348766468,958205938,0.421574595822,0.906729093749,0.00684945407068,0.00838425225324,-0.025154100731,0.0100494055077,-0.0092461630702,-0.0967434421182,0.0981436893344,-9.8578710556
11,1348766468,968729972,1348766468,968298912,0.421598345016,0.90671613964,0.00697929155122,0.00848334163539,-0.0370829254389,-0.00739864772186,0.00567283760756,-0.0992017835379,0.110261470079,-9.85323810577
12,1348766468,978715896,1348766468,978311061,0.421589157708,0.906718627612,0.00708740047856,0.00858377538654,-0.0381750315428,-0.00585419731215,-0.00591525668278,-0.1016407758,0.105427466333,-9.85821533203
13,1348766468,988493919,1348766468,988224983,0.421588639547,0.906717243586,0.00724912822812,0.00862028591305,-0.037704076618,0.00669598765671,0.000440897798399,-0.0967193320394,0.0981050878763,-9.85300445557
14,1348766468,998548030,1348766468,998214006,0.421663135859,0.906680572306,0.00736723520795,0.00873289785062,-0.042014438659,-0.0177992265671,0.0180238634348,-0.0967241823673,0.105364613235,-9.84819030762
15,1348766469,8542060,1348766469,8204936,0.421703309478,0.906660249737,0.00749709492741,0.00879226308562,-0.0338702239096,-0.000228056829656,0.00933008361608,-0.096762791276,0.115095466375,-9.84825992584
16,1348766469,18583059,1348766469,18215894,0.421676233334,0.906670577994,0.00769742708696,0.0088525057158,-0.0511376932263,0.00126404233743,-0.00505308201537,-0.101568445563,0.105311647058,-9.84361553192
17,1348766469,28721094,1348766469,28317928,0.42170707084,0.906653454577,0.00789088132988,0.00896625335788,-0.0500761978328,-0.00470315758139,0.00739133218303,-0.10642721504,0.114950925112,-9.83424282074
18,1348766469,38753032,1348766469,38309097,0.421796628354,0.906611114654,0.00798953365898,0.00894753856787,-0.0398013629019,0.0148071749136,0.00674872193485,-0.096762791276,0.115095466375,-9.84825992584
19,1348766469,48129081,1348766469,47821044,0.421804096042,0.906605486893,0.00811288980938,0.00905409944639,-0.0368774570525,-0.00924646481872,0.00209163152613,-0.101587750018,0.110177069902,-9.8436498642
20,1348766469,58603048,1348766469,58244943,0.421901460348,0.906559323528,0.00820674682788,0.00905538447962,-0.0469486489892,-0.000154054301674,0.0127963451669,-0.0918196439743,0.105321064591,-9.84059810638
21,1348766469,68514108,1348766469,68262100,0.421925409189,0.906546202024,0.00830755157526,0.00916063664977,-0.0327693559229,-0.0109498389065,0.00567126693204,-0.0991680249572,0.107790149748,-9.84835338593
22,1348766469,78634977,1348766469,78296899,0.422021363214,0.906499579189,0.00844330676103,0.00922997791433,-0.0472161956131,-0.00715467473492,0.0180944614112,-0.11377799511,0.11500659585,-9.84441375732
23,1348766469,88787078,1348766469,88332891,0.422037056457,0.906490265846,0.00858519602203,0.0092959837492,-0.0370117388666,-0.000334997137543,0.00395553885028,-0.0967145785689,0.115018248558,-9.83852672577
24,1348766469,98747968,1348766469,98236083,0.422109733296,0.906456410597,0.00864148531054,0.00924518664333,-0.0249409452081,-0.00358092249371,0.0191693808883,-0.0894891396165,0.110328793526,-9.85752105713
25,1348766469,108628988,1348766469,108247995,0.422133770836,0.906443139408,0.00873744388119,0.00935797064883,-0.0327642560005,-0.0127205373719,0.00564953777939,-0.0894698351622,0.105463370681,-9.85748672485
26,1348766469,118607997,1348766469,118236064,0.422209064348,0.906407529479,0.00882639177673,0.00932691234435,-0.0383674278855,0.00161646888591,0.0128834573552,-0.101607061923,0.115042500198,-9.84368515015
27,1348766469,128556013,1348766469,128257036,0.422240585973,0.906390420813,0.00896490910339,0.00942990032401,-0.039757732302,-0.00736470520496,0.00744117284194,-0.101616710424,0.11747521162,-9.84370231628
28,1348766469,138581991,1348766469,138254880,0.422251513548,0.906385123139,0.00898641022292,0.00942933140261,-0.0307483449578,-0.0137204853818,0.000313899043249,-0.101607061923,0.115042500198,-9.84368515015
29,1348766469,148755073,1348766469,148310899,0.422251425481,0.906383501411,0.00909805048654,0.00948195796956,-0.0308099091053,-0.000408889114624,0.000439904339146,-0.109001249075,0.12000220269,-9.85875797272
30,1348766469,158739089,1348766469,158273935,0.422287210977,0.906365879076,0.00917121402226,0.00950229052879,-0.0363003835082,-0.0109216254205,0.00744011579081,-0.116139858961,0.114883594215,-9.82995986938
31,1348766469,168670892,1348766469,168243885,0.422309841475,0.906352269998,0.00934665099714,0.00962291941387,-0.0482445843518,-0.0073982514441,0.0055868239142,-0.0990811958909,0.0979820862412,-9.83855056763
32,1348766469,178628921,1348766469,178224086,0.422265268929,0.906371844158,0.00950465450536,0.00958041314052,-0.0426360145211,-0.000473293970572,-0.00322474469431,-0.0869633704424,0.11744107306,-9.83309459686
33,1348766469,188565969,1348766469,188224077,0.422297319722,0.906354871043,0.00960994394484,0.0096680127193,-0.0328814983368,-0.00736356573179,0.0074857622385,-0.0967338383198,0.107797324657,-9.84820747375
34,1348766469,198559999,1348766469,198240041,0.422355185625,0.906327258796,0.00967027590769,0.00966865573447,-0.0369375161827,0.00672973645851,0.00223086448386,-0.0966470092535,0.0979892611504,-9.83840465546
35,1348766469,208597898,1348766469,208249092,0.422402877944,0.906302402307,0.00980147236661,0.00978240337002,-0.0399405024946,-0.00995341315866,0.0109763694927,-0.0967482924461,0.105403222144,-9.85305690765
36,1348766469,218624114,1348766469,218291997,0.422485773793,0.906263028378,0.00986478724231,0.00978674157071,-0.0315392874181,-0.000140318676131,0.0138088893145,-0.101679384708,0.115158319473,-9.85828495026
37,1348766469,228694915,1348766469,228307008,0.42257399691,0.906219752185,0.0100071312713,0.00984048827116,-0.037033714354,0.0017593113007,0.0200233049691,-0.0966759622097,0.105287402868,-9.83845710754
38,1348766469,239557027,1348766469,239228010,0.422633478115,0.906191945207,0.0100474430836,0.00980563645133,-0.0448041930795,-0.00916936993599,0.00559295574203,-0.0869633257389,0.105354726315,-9.8427400589
39,1348766469,248584032,1348766469,248243093,0.422656777033,0.906178514597,0.0101825797021,0.00990270574469,-0.0396544784307,-0.00651132268831,0.00565603375435,-0.096637353301,0.0955565497279,-9.83838653564
40,1348766469,259592056,1348766469,259283065,0.422794681315,0.906113809023,0.0101785579478,0.00994080019826,-0.0401319228113,-0.010771850124,0.0145378205925,-0.101614266634,0.107802271843,-9.85093307495
41,1348766469,268579959,1348766469,268250942,0.422834599213,0.906093224257,0.0103112813997,0.00998239145911,-0.0347427017987,0.00331673864275,0.00936282332987,-0.111343808472,0.11501377821,-9.84426784515
42,1348766469,279761075,1348766469,279398918,0.422877717172,0.906071887859,0.0104490579519,0.00994924816528,-0.0431681126356,0.0103520397097,0.00578978238627,-0.0967193767428,0.110191434622,-9.84335803986
43,1348766469,288753986,1348766469,288243055,0.42290183238,0.906058566919,0.0105338186154,0.0100474946453,-0.0310483071953,-0.0109498165548,0.00568206002936,-0.0967000722885,0.105326004326,-9.84332370758
44,1348766469,299791097,1348766469,299247980,0.423052096401,0.905989800852,0.0105046473624,0.00995273166246,-0.0335252992809,-2.85284040729e-05,0.018310174346,-0.0967795625329,0.110170267522,-9.84318733215
45,1348766469,308501005,1348766469,308163881,0.423071231321,0.905978027096,0.010673180628,0.0100314935932,-0.0448242500424,-0.000295870035188,0.00485216919333,-0.106516331434,0.110141545534,-9.84377098083
46,1348766469,319588899,1348766469,319224119,0.423227229781,0.905907694852,0.0105323969467,0.00995133130776,-0.0295385699719,-0.00377250206657,0.00849140249193,-0.0968132838607,0.100555218756,-9.85771751404
47,1348766469,328552007,1348766469,328253984,0.423257505174,0.90588996068,0.0107704671708,0.0100229980612,-0.0570290051401,0.00686223991215,0.0074991309084,-0.0967675074935,0.110150963068,-9.84075450897
