MessageSequence,SystemTimeSecs,SystemTimenSecs,TimeStampSecs,TimeStampnSecs
3,1348766468,881922960,1348766468,880827730
4,1348766468,948777914,1348766468,947445796
5,1348766469,15342950,1348766469,14168986
6,1348766469,81974029,1348766469,80824432
7,1348766469,148642063,1348766469,147465517
8,1348766469,215467929,1348766469,214301813
9,1348766469,281915903,1348766469,280753038
10,1348766469,348731994,1348766469,347457188
11,1348766469,415436983,1348766469,414282717
12,1348766469,481939077,1348766469,480770999
13,1348766469,548798084,1348766469,547394115
14,1348766469,615322113,1348766469,614221660
15,1348766469,682004928,1348766469,680820827
16,1348766469,748264074,1348766469,747386305
17,1348766469,815428972,1348766469,814181623
18,1348766469,881557941,1348766469,880746441
19,1348766469,948283910,1348766469,947399995
20,1348766470,15263080,1348766470,14205568
21,1348766470,81834077,1348766470,80778391
22,1348766470,148647069,1348766470,147425883
23,1348766470,215378999,1348766470,214212194
24,1348766470,282090902,1348766470,280812862
25,1348766470,348759889,1348766470,347424671
26,1348766470,415311098,1348766470,414174115
27,1348766470,481990098,1348766470,480864042
28,1348766470,548779010,1348766470,547417105
29,1348766470,615278005,1348766470,614225629
30,1348766470,682039976,1348766470,680904717
31,1348766470,748703956,1348766470,747424440
32,1348766470,814937114,1348766470,814144462
33,1348766470,882011890,1348766470,880883389
34,1348766470,948640108,1348766470,947477968
35,1348766471,15383958,1348766471,14204435
36,1348766471,81914901,1348766471,80806004
37,1348766471,148669004,1348766471,147412625
38,1348766471,215365886,1348766471,214210066
39,1348766471,281949043,1348766471,280834248
40,1348766471,348527908,1348766471,347393826
41,1348766471,415433883,1348766471,414221165
42,1348766471,482040882,1348766471,480884890
43,1348766471,548566102,1348766471,547412893
44,1348766471,615360021,1348766471,614238560
45,1348766471,681979894,1348766471,680834276
46,1348766471,748586893,1348766471,747408881
47,1348766471,815291881,1348766471,814214651
48,1348766471,882117033,1348766471,880884167
49,1348766471,948652029,1348766471,947487299
50,1348766472,15264034,1348766472,14144811
51,1348766472,82051992,1348766472,80847731
52,1348766472,148385047,1348766472,147515242
53,1348766472,215388059,1348766472,214186756
54,1348766472,282027959,1348766472,280849878
55,1348766472,348628044,1348766472,347418595
56,1348766472,415358066,1348766472,414218050
57,1348766472,481910943,1348766472,480771413
58,1348766472,548588991,1348766472,547396323
59,1348766472,615468025,1348766472,614287159
60,1348766472,681906938,1348766472,680784223
61,1348766472,748553037,1348766472,747423784
62,1348766472,815512895,1348766472,814264532
63,1348766472,881836891,1348766472,880734552
64,1348766472,948437929,1348766472,947395406
65,1348766473,15312910,1348766473,14124110
66,1348766473,81733942,1348766473,80786002
67,1348766473,148489952,1348766473,147389506
68,1348766473,215301036,1348766473,214224389
69,1348766473,281960010,1348766473,280726191
70,1348766473,348587036,1348766473,347422822
71,1348766473,415319919,1348766473,414217147
72,1348766473,482000112,1348766473,480794732
73,1348766473,548600912,1348766473,547428413
74,1348766473,615279912,1348766473,614182048
75,1348766473,681998014,1348766473,680800870
76,1348766473,748684883,1348766473,747477941
77,1348766473,815290927,1348766473,814149057
78,1348766473,881922006,1348766473,880805760
79,1348766473,948719024,1348766473,947451737
80,1348766474,15352964,1348766474,14223181
81,1348766474,81984996,1348766474,80885446
82,1348766474,148639917,1348766474,147437963
83,1348766474,215450048,1348766474,214390097
84,1348766474,281936883,1348766474,280826324
85,1348766474,348668098,1348766474,347511103
86,1348766474,415405035,1348766474,414212108
87,1348766474,481916904,1348766474,480807535
88,1348766474,548273086,1348766474,547451413
89,1348766474,615243911,1348766474,614140270
90,1348766474,681967973,1348766474,680832403
91,1348766474,748492002,1348766474,747405441
92,1348766474,815013885,1348766474,814213298
93,1348766474,881963014,1348766474,880856891
94,1348766474,948559999,1348766474,947385428
95,1348766475,15322923,1348766475,14147126
96,1348766475,81943988,1348766475,80798269
97,1348766475,148252010,1348766475,147413352
98,1348766475,215361118,1348766475,214203185
99,1348766475,282025098,1348766475,280874834
100,1348766475,348524093,1348766475,347383692
101,1348766475,415420055,1348766475,414205500
102,1348766475,481952905,1348766475,480838346
103,1348766475,548573970,1348766475,547438400
104,1348766475,615361928,1348766475,614174571
105,1348766475,681870937,1348766475,680765615
106,1348766475,748672008,1348766475,747478353
107,1348766475,815323114,1348766475,814147543
108,1348766475,881995916,1348766475,880789236
109,1348766475,948749065,1348766475,947466284
110,1348766476,15369892,1348766476,14200905
111,1348766476,81922054,1348766476,80780708
112,1348766476,148631095,1348766476,147446833
113,1348766476,215068101,1348766476,214181045
114,1348766476,282089948,1348766476,280852282
115,1348766476,348450899,1348766476,347432896
116,1348766476,415482997,1348766476,414211105
117,1348766476,482052087,1348766476,480853314
118,1348766476,548552989,1348766476,547395368
119,1348766476,615483045,1348766476,614334360
120,1348766476,681971073,1348766476,680838694
121,1348766476,748554944,1348766476,747397284
122,1348766476,815453052,1348766476,814242328
123,1348766476,882047891,1348766476,880885514
124,1348766476,948529005,1348766476,947406592
125,1348766477,15038967,1348766477,14198711
126,1348766477,81962108,1348766477,80792986
127,1348766477,148752927,1348766477,147433470
128,1348766477,215351104,1348766477,214182172
129,1348766477,282018899,1348766477,280894153
130,1348766477,348588943,1348766477,347429982
131,1348766477,415462970,1348766477,414378031
132,1348766477,481911897,1348766477,480813552
133,1348766477,548620939,1348766477,547440473
134,1348766477,615451097,1348766477,614257753
135,1348766477,681607007,1348766477,680819360
136,1348766477,748672962,1348766477,747472778
137,1348766477,815428018,1348766477,814262901
138,1348766477,881937026,1348766477,880794581
139,1348766477,948147058,1348766477,947399892
140,1348766478,14960050,1348766478,14221017
141,1348766478,81708908,1348766478,80836225
142,1348766478,148341894,1348766478,147495193
143,1348766478,215472936,1348766478,214243049
144,1348766478,281919956,1348766478,280786968
145,1348766478,348601102,1348766478,347445903
146,1348766478,415036916,1348766478,414187659
147,1348766478,481600046,1348766478,480767574
148,1348766478,548527002,1348766478,547476899
149,1348766478,615395069,1348766478,614308795
150,1348766478,681961059,1348766478,680830246
151,1348766478,748627901,1348766478,747451571
152,1348766478,815278053,1348766478,814206823
153,1348766478,882026910,1348766478,880869523
154,1348766478,948724031,1348766478,947535108
155,1348766479,15413999,1348766479,14255431
156,1348766479,81769943,1348766479,80864905
157,1348766479,148569107,1348766479,147412002
158,1348766479,215291976,1348766479,214213019
159,1348766479,281939029,1348766479,280841275
160,1348766479,348541021,1348766479,347445824
161,1348766479,415272951,1348766479,414179784
162,1348766479,481964111,1348766479,480807620
163,1348766479,548574924,1348766479,547415290
164,1348766479,615281105,1348766479,614193190
165,1348766479,681639909,1348766479,680785283
166,1348766479,748595952,1348766479,747408298
167,1348766479,815298080,1348766479,814205606
168,1348766479,881750106,1348766479,880863512
169,1348766479,948570966,1348766479,947414181
170,1348766480,15285015,1348766480,14211637
171,1348766480,81958055,1348766480,80837654
172,1348766480,148253917,1348766480,147421113
173,1348766480,215354919,1348766480,214276211
174,1348766480,281938076,1348766480,280809163
175,1348766480,348694086,1348766480,347512325
176,1348766480,415298938,1348766480,414204311
177,1348766480,481947898,1348766480,480837520
178,1348766480,548403024,1348766480,547445501
179,1348766480,615387916,1348766480,614253852
180,1348766480,682051897,1348766480,680857761
181,1348766480,748409032,1348766480,747418943
182,1348766480,814929962,1348766480,814186255
183,1348766480,881963968,1348766480,880852639
184,1348766480,948605060,1348766480,947420157
185,1348766481,15310049,1348766481,14181814
186,1348766481,81995964,1348766481,80841715
187,1348766481,148566961,1348766481,147415971
188,1348766481,215270042,1348766481,214128744
189,1348766481,281651973,1348766481,280834670
190,1348766481,348397016,1348766481,347447969
191,1348766481,415354013,1348766481,414150643
192,1348766481,482024908,1348766481,480908903
193,1348766481,548511028,1348766481,547419274
194,1348766481,615510940,1348766481,614212534
195,1348766481,682018041,1348766481,680903771
196,1348766481,748652935,1348766481,747480635
197,1348766481,815253019,1348766481,814193468
198,1348766481,881989002,1348766481,880761356
199,1348766481,948681116,1348766481,947473301
200,1348766482,15429019,1348766482,14227400
201,1348766482,81911087,1348766482,80807294
202,1348766482,148324012,1348766482,147508133
203,1348766482,215316057,1348766482,214241859
204,1348766482,282031059,1348766482,280890224
205,1348766482,348318099,1348766482,347409429
206,1348766482,415292024,1348766482,414214440
207,1348766482,481987953,1348766482,480829551
208,1348766482,548579931,1348766482,547446736
209,1348766482,615113973,1348766482,614246053
210,1348766482,681966066,1348766482,680813653
211,1348766482,748342990,1348766482,747420003
212,1348766482,815182924,1348766482,814295118
213,1348766482,882026910,1348766482,880903680
214,1348766482,948390007,1348766482,947514838
215,1348766483,15480995,1348766483,14202141
216,1348766483,81958055,1348766483,80821940
217,1348766483,148669004,1348766483,147508568
218,1348766483,215159893,1348766483,214237290
219,1348766483,281914949,1348766483,280800705
220,1348766483,348680973,1348766483,347447420
221,1348766483,415378093,1348766483,414214723
222,1348766483,482043981,1348766483,480892146
223,1348766483,548664093,1348766483,547449397
224,1348766483,615314006,1348766483,614183088
225,1348766483,681945085,1348766483,680841752
226,1348766483,748425960,1348766483,747481870
227,1348766483,815068960,1348766483,814256253
228,1348766483,882011890,1348766483,880846962
229,1348766483,948635101,1348766483,947453546
230,1348766484,15352010,1348766484,14226111
231,1348766484,82048892,1348766484,80831359
232,1348766484,148225069,1348766484,147427681
233,1348766484,215282917,1348766484,214216108
234,1348766484,281939029,1348766484,280770431
235,1348766484,348598957,1348766484,347423797
236,1348766484,415338039,1348766484,414200417
237,1348766484,481966972,1348766484,480805216
238,1348766484,548304080,1348766484,547395646
239,1348766484,615293025,1348766484,614200397
240,1348766484,681988000,1348766484,680848936
241,1348766484,748589992,1348766484,747442891
242,1348766484,815305948,1348766484,814213646
243,1348766484,882091045,1348766484,880894614
244,1348766484,948636054,1348766484,947444381
245,1348766485,15362977,1348766485,14214023
246,1348766485,82071065,1348766485,80904615
247,1348766485,148643970,1348766485,147451484
248,1348766485,215282917,1348766485,214185614
249,1348766485,281759977,1348766485,280861983
250,1348766485,348603010,1348766485,347432160
251,1348766485,415307998,1348766485,414188489
252,1348766485,481990098,1348766485,480869752
253,1348766485,548633098,1348766485,547487379
254,1348766485,615107059,1348766485,614223239
255,1348766485,681668043,1348766485,680840111
256,1348766485,748594045,1348766485,747413144
257,1348766485,815152883,1348766485,814275535
258,1348766485,881948947,1348766485,880826271
259,1348766485,948415040,1348766485,947523313
260,1348766486,15507936,1348766486,14293827
261,1348766486,81991910,1348766486,80847332
262,1348766486,148632049,1348766486,147441784
263,1348766486,214915990,1348766486,214179287
264,1348766486,281990051,1348766486,280848828
265,1348766486,348527908,1348766486,347417357
266,1348766486,415348052,1348766486,414196242
267,1348766486,481986045,1348766486,480860441
268,1348766486,548676967,1348766486,547442974
269,1348766486,615334987,1348766486,614214970
270,1348766486,681988000,1348766486,680798743
271,1348766486,748686075,1348766486,747448079
272,1348766486,815188884,1348766486,814131733
273,1348766486,881788969,1348766486,880806596
274,1348766486,948580026,1348766486,947418181
275,1348766487,15361070,1348766487,14209868
276,1348766487,81969022,1348766487,80828738
277,1348766487,148602962,1348766487,147416477
278,1348766487,215301036,1348766487,214144071
279,1348766487,281960010,1348766487,280829782
280,1348766487,348576068,1348766487,347432487
281,1348766487,415405035,1348766487,414218391
282,1348766487,481962919,1348766487,480787097
283,1348766487,548293113,1348766487,547425387
284,1348766487,615375995,1348766487,614231733
285,1348766487,681977987,1348766487,680800730
286,1348766487,748353958,1348766487,747456951
287,1348766487,815382003,1348766487,814208966
288,1348766487,881995916,1348766487,880775701
289,1348766487,948584079,1348766487,947424259
290,1348766488,15305042,1348766488,14186688
291,1348766488,81693887,1348766488,80857492
292,1348766488,148551940,1348766488,147404606
293,1348766488,215303897,1348766488,214238754
294,1348766488,281729936,1348766488,280852660
295,1348766488,348687887,1348766488,347430843
296,1348766488,415349960,1348766488,414235672
297,1348766488,482029914,1348766488,480829963
298,1348766488,548612117,1348766488,547422147
299,1348766488,615405082,1348766488,614254513
300,1348766488,681996107,1348766488,680846755
301,1348766488,748261928,1348766488,747405202
302,1348766488,815335988,1348766488,814226222
303,1348766488,882030963,1348766488,880867114
304,1348766488,948596954,1348766488,947404343
305,1348766489,15059947,1348766489,14234886
306,1348766489,81996917,1348766489,80810578
307,1348766489,148453950,1348766489,147519505
308,1348766489,215358972,1348766489,214197797
309,1348766489,281733036,1348766489,280804853
310,1348766489,348649978,1348766489,347454312
311,1348766489,415286064,1348766489,414239496
312,1348766489,481734037,1348766489,480852350
313,1348766489,548552989,1348766489,547446553
314,1348766489,615142107,1348766489,614222591
315,1348766489,682008028,1348766489,680825302
316,1348766489,748601913,1348766489,747456457
317,1348766489,815335035,1348766489,814199398
318,1348766489,881968975,1348766489,880832143
319,1348766489,948621988,1348766489,947478646
320,1348766490,15445947,1348766490,14242331
321,1348766490,81924915,1348766490,80779130
322,1348766490,148582935,1348766490,147449120
323,1348766490,215078115,1348766490,214215716
324,1348766490,281964063,1348766490,280841798
325,1348766490,348630905,1348766490,347472601
326,1348766490,415390968,1348766490,414185561
327,1348766490,481970071,1348766490,480780520
328,1348766490,548589944,1348766490,547416876
329,1348766490,615389108,1348766490,614212673
330,1348766490,681981086,1348766490,680799540
331,1348766490,748529911,1348766490,747400271
332,1348766490,815424919,1348766490,814255121
333,1348766490,881891965,1348766490,880801909
334,1348766490,948242902,1348766490,947379367
335,1348766491,15341043,1348766491,14237640
336,1348766491,81967115,1348766491,80834901
337,1348766491,148627042,1348766491,147460796
338,1348766491,215346097,1348766491,214226592
339,1348766491,281797885,1348766491,280800962
340,1348766491,348583936,1348766491,347400350
341,1348766491,415396928,1348766491,414291606
342,1348766491,481972932,1348766491,480840349
343,1348766491,548589944,1348766491,547399550
344,1348766491,615449905,1348766491,614325108
345,1348766491,682039022,1348766491,680832139
346,1348766491,748295068,1348766491,747426216
347,1348766491,815428018,1348766491,814239905
348,1348766491,881637096,1348766491,880773196
349,1348766491,948247909,1348766491,947411883
350,1348766492,15136957,1348766492,14239782
351,1348766492,81909894,1348766492,80802850
352,1348766492,148570060,1348766492,147407595
353,1348766492,215465068,1348766492,214255613
354,1348766492,281909942,1348766492,280836833
355,1348766492,348299980,1348766492,347431135
356,1348766492,415373086,1348766492,414260997
357,1348766492,481915950,1348766492,480779380
358,1348766492,548613071,1348766492,547433257
359,1348766492,615401029,1348766492,614281931
360,1348766492,681652069,1348766492,680805911
361,1348766492,748553037,1348766492,747428808
362,1348766492,815105915,1348766492,814240554
363,1348766492,881952047,1348766492,880829307
364,1348766492,948621034,1348766492,947435050
365,1348766493,15290021,1348766493,14216191
366,1348766493,81928014,1348766493,80805972
367,1348766493,148633003,1348766493,147462135
368,1348766493,215315103,1348766493,214188696
369,1348766493,281913042,1348766493,280776363
370,1348766493,348587989,1348766493,347450097
371,1348766493,415381908,1348766493,414233295
372,1348766493,481992959,1348766493,480833424
373,1348766493,548615932,1348766493,547436180
374,1348766493,615499973,1348766493,614318889
375,1348766493,681950092,1348766493,680802798
376,1348766493,748706102,1348766493,747489732
377,1348766493,815241098,1348766493,814180890
378,1348766493,881666898,1348766493,880809147
379,1348766493,948570013,1348766493,947424837
380,1348766494,15341997,1348766494,14181360
381,1348766494,81881046,1348766494,80780774
382,1348766494,148534059,1348766494,147399785
383,1348766494,215179920,1348766494,214257202
384,1348766494,281918048,1348766494,280806295
385,1348766494,348592042,1348766494,347431883
386,1348766494,415400028,1348766494,414210607
387,1348766494,481939077,1348766494,480803797
388,1348766494,548320055,1348766494,547432483
389,1348766494,615279912,1348766494,614213254
390,1348766494,681663990,1348766494,680776234
391,1348766494,748241901,1348766494,747432537
392,1348766494,815049886,1348766494,814188732
393,1348766494,881983041,1348766494,880806075
394,1348766494,948286056,1348766494,947406164
395,1348766495,15456914,1348766495,14307374
396,1348766495,81996917,1348766495,80801217
397,1348766495,148344039,1348766495,147494060
398,1348766495,215390920,1348766495,214219355
399,1348766495,281972885,1348766495,280807252
400,1348766495,348571062,1348766495,347437608
401,1348766495,415030956,1348766495,414243751
402,1348766495,482031106,1348766495,480832651
403,1348766495,548273086,1348766495,547407139
404,1348766495,615062952,1348766495,614200162
405,1348766495,681627988,1348766495,680807672
406,1348766495,748588085,1348766495,747407183
407,1348766495,815402030,1348766495,814256102
408,1348766495,881952047,1348766495,880811889
409,1348766495,948561906,1348766495,947430036
410,1348766496,15490055,1348766496,14297836
411,1348766496,81902980,1348766496,80771343
412,1348766496,148633956,1348766496,147426716
413,1348766496,215358972,1348766496,214207457
414,1348766496,281610965,1348766496,280785325
415,1348766496,348259925,1348766496,347437191
416,1348766496,415406942,1348766496,414238447
417,1348766496,481923103,1348766496,480799978
418,1348766496,548573017,1348766496,547427420
419,1348766496,615433931,1348766496,614305682
420,1348766496,681998014,1348766496,680839679
421,1348766496,748611927,1348766496,747454694
422,1348766496,815529108,1348766496,814335438
423,1348766496,881957054,1348766496,880808481
424,1348766496,948566913,1348766496,947405159
425,1348766497,15316963,1348766497,14175331
426,1348766497,82026004,1348766497,80837248
427,1348766497,148112058,1348766497,147429195
428,1348766497,215365886,1348766497,214264455
429,1348766497,281635999,1348766497,280806437
430,1348766497,348258972,1348766497,347432929
431,1348766497,415080070,1348766497,414208110
432,1348766497,481944084,1348766497,480806658
433,1348766497,548594951,1348766497,547400970
434,1348766497,615061044,1348766497,614187037
435,1348766497,681690931,1348766497,680839176
436,1348766497,748265981,1348766497,747461087
437,1348766497,815076112,1348766497,814250586
438,1348766497,881685972,1348766497,880838324
439,1348766497,948575019,1348766497,947440181
440,1348766498,15376091,1348766498,14212886
441,1348766498,82045078,1348766498,80865227
442,1348766498,148530006,1348766498,147435593
443,1348766498,215332031,1348766498,214209991
444,1348766498,281913995,1348766498,280778421
445,1348766498,348587989,1348766498,347434133
446,1348766498,415381908,1348766498,414235488
447,1348766498,481950044,1348766498,480811574
448,1348766498,548639059,1348766498,547405635
449,1348766498,615453004,1348766498,614258647
450,1348766498,681921005,1348766498,680781945
451,1348766498,748616933,1348766498,747461008
452,1348766498,815465927,1348766498,814275467
453,1348766498,882042884,1348766498,880838533
454,1348766498,948584079,1348766498,947404019
455,1348766499,15289068,1348766499,14258962
456,1348766499,81856012,1348766499,80810376
457,1348766499,148566961,1348766499,147437244
458,1348766499,215358018,1348766499,214209433
459,1348766499,281981945,1348766499,280808642
460,1348766499,348279953,1348766499,347435931
461,1348766499,415306091,1348766499,414207867
462,1348766499,481570005,1348766499,480809444
463,1348766499,548470973,1348766499,547435090
464,1348766499,615335941,1348766499,614187363
465,1348766499,682002067,1348766499,680809850
466,1348766499,748253107,1348766499,747424296
467,1348766499,815072059,1348766499,814110998
468,1348766499,881699085,1348766499,880838142
469,1348766499,948174953,1348766499,947393837
470,1348766500,15326976,1348766500,14221217
471,1348766500,81813097,1348766500,80810397
472,1348766500,148603916,1348766500,147443615
473,1348766500,215765953,1348766500,214355925
474,1348766500,282242059,1348766500,280870681
475,1348766500,348572969,1348766500,347438939
476,1348766500,415466070,1348766500,414216384
477,1348766500,481770992,1348766500,480790849
478,1348766500,548634052,1348766500,547545757
479,1348766500,615742921,1348766500,614288923
480,1348766500,681674003,1348766500,680776518
481,1348766500,748620986,1348766500,747443195
482,1348766500,815424919,1348766500,814253019
483,1348766500,881906986,1348766500,880806227
