TimeStamp (sec)	 , x Axis	 , Y Axis
0.55209742	 , 0	 , 0
0.92090355	 ,-3.715	 , -4.3175
0.141156066	 ,0.0275001	 , -1.845
0.171970302	 ,4.8425	 , 1.86
0.202276638	 ,7.69	 , -3.8
0.230177067	 ,8.525	 , 2.1475
0.264612771	 ,9.36	 , 1.62
0.298087985	 ,7.8225	 , -1.1625
0.333029557	 ,11.335	 , 0.415
0.364318353	 ,13.3825	 , -0.3325
0.397470698	 ,13.7625	 , -2.48
0.428755943	 ,12.695	 , -1.98
0.459044271	 ,8.6825	 , -5.7375
0.484663160	 ,18.8825	 , -8.7875
0.512409200	 ,20.4525	 , -4.6925
0.539797637	 ,19.36	 , 1.055
0.567681672	 ,28.3425	 , 7.7625
0.601138630	 ,36.85	 , 11.1625
0.634560525	 ,37.385	 , 9.115
0.665471741	 ,37.62	 , 5.71
0.697889825	 ,47.325	 , 14.6825
0.738005326	 ,47.275	 , 13.3925
0.767791917	 ,53.525	 , 19.74
0.800270888	 ,62.1575	 , 20.42
0.828373612	 ,66.9625	 , 26.3925
0.862302831	 ,77.11	 , 18.9325
0.893689683	 ,73.4725	 , 26.165
0.925390933	 ,72.42	 , 18.0275
0.955891859	 ,71.3175	 , 17.8475
0.985234979	 ,76.4925	 , 20.955
1.14078268	 ,76.02	 , 15.9375
1.42169248	 ,74.0175	 , 19.5425
1.71267898	 ,72.88	 , 10.83
1.97610081	 ,71.705	 , 20.9975
1.130639085	 ,70.8625	 , 15.725
1.161683244	 ,66.24	 , 23.37
1.194952709	 ,62.3	 , 18.465
1.227769694	 ,60.3025	 , 29.2875
1.261936268	 ,58.4125	 , 30.6025
1.293434025	 ,51.965	 , 29.9575
1.321656848	 ,53.56	 , 42.5575
1.348199193	 ,54.1125	 , 43.8225
1.375505642	 ,53.8175	 , 56.7775
1.407156480	 ,48.3825	 , 62.155
1.441794177	 ,44.405	 , 73.2775
1.476400459	 ,43.9875	 , 75.1825
1.509778593	 ,39.83	 , 88.8275
1.540751305	 ,41.115	 , 87.8575
1.572552282	 ,40.35	 , 95.8325
1.601561594	 ,39.68	 , 101.52
1.629835844	 ,36.1725	 , 112.167
1.666732139	 ,36.4875	 , 102.537
1.700653448	 ,37.985	 , 115.132
1.728936140	 ,39.3875	 , 118.637
1.760463380	 ,39.2525	 , 121.757
1.791898404	 ,35.7725	 , 132.902
1.821977286	 ,31.085	 , 135.53
1.852137603	 ,29.6025	 , 147.24
1.877462496	 ,30.6475	 , 150.94
1.906348780	 ,28.86	 , 158.208
1.931229112	 ,32.7875	 , 160.8
1.969865168	 ,30.8975	 , 161.925
2.3976370	 ,27.8675	 , 164.69
2.36715512	 ,29.395	 , 165.113
2.65337883	 ,28.6825	 , 169.945
2.95746645	 ,30.2775	 , 169.725
2.134581244	 ,30.97	 , 174.43
2.163693584	 ,29.95	 , 172.138
2.195162225	 ,31.74	 , 183.803
2.230436282	 ,28.2825	 , 176.76
2.266064447	 ,34.105	 , 187.875
2.300908749	 ,43.4125	 , 194.238
2.334477275	 ,41.55	 , 201.315
2.369724851	 ,44.8775	 , 211.873
2.401108325	 ,49.595	 , 214.153
2.430449136	 ,48.995	 , 225.978
2.469868640	 ,52.795	 , 227.903
2.497594255	 ,48	 , 238.885
2.524060675	 ,50.7475	 , 241.513
2.555395835	 ,54.5025	 , 245.64
2.590474621	 ,58.0425	 , 258.708
2.623428574	 ,63.7825	 , 260.545
2.652103307	 ,63.3125	 , 275.812
2.685841941	 ,61.48	 , 275.902
2.713481857	 ,61.2525	 , 277.973
2.742456656	 ,56.885	 , 280.133
2.780306828	 ,50.4125	 , 286.773
2.804824788	 ,47.08	 , 287.46
2.840181492	 ,48.0025	 , 299.488
2.872098760	 ,46.21	 , 302.963
2.904519675	 ,44.7625	 , 309
2.939460790	 ,44.7725	 , 316.863
2.969838139	 ,44.145	 , 320.165
2.997875566	 ,42.9275	 , 329.383
3.26752594	 ,41.9825	 , 332.5
3.55401755	 ,40.6625	 , 342.44
3.82614091	 ,44.385	 , 346.1
3.118087921	 ,43.2175	 , 353.705
3.143013961	 ,43.0525	 , 358.723
3.175868905	 ,45.395	 , 360.557
3.206445931	 ,47.1875	 , 362.72
3.236378331	 ,49.69	 , 368.362
3.267429993	 ,49.4425	 , 379.412
3.296640865	 ,47.93	 , 368.225
3.325480094	 ,49.2725	 , 381.642
3.350672911	 ,48.245	 , 378.692
3.388568555	 ,43.9875	 , 388.885
3.423404352	 ,42.305	 , 396.31
3.454683603	 ,43.1725	 , 393.535
3.486686796	 ,44.72	 , 398.235
3.517492528	 ,44.6225	 , 397.495
3.550818749	 ,45.3975	 , 403.422
3.580289525	 ,46.32	 , 402.407
3.609992504	 ,42.535	 , 406.535
3.636983432	 ,40.83	 , 398.742
3.671884843	 ,38.4	 , 400.4
3.704758476	 ,35.2075	 , 394.707
3.737752689	 ,32.6375	 , 393.89
3.769543615	 ,26.9525	 , 392.237
3.802936809	 ,21.57	 , 398.935
3.833101649	 ,13.33	 , 403.142
3.865691877	 ,7.24501	 , 411.555
3.890021974	 ,4.51751	 , 415.477
3.918769704	 ,-0.264987	 , 421.975
3.954978267	 ,-3.52249	 , 422.087
3.988204993	 ,-7.55999	 , 422.262
4.20356664	 ,-10.3625	 , 417.735
4.51064387	 ,-16.8425	 , 427.31
4.86477369	 ,-18.755	 , 417.732
4.117090298	 ,-22.95	 , 424.667
4.142618858	 ,-27.8225	 , 423.5
4.182671184	 ,-31.9075	 , 428.442
4.209003886	 ,-39.1375	 , 430.687
4.244658614	 ,-43.875	 , 433.67
4.278945201	 ,-46.04	 , 434.125
4.311284292	 ,-46.7125	 , 440.725
4.344371030	 ,-55.1425	 , 446.642
4.375793849	 ,-58.7375	 , 455.532
4.407282594	 ,-58.15	 , 456.815
4.446660068	 ,-60.01	 , 458.99
4.476651382	 ,-63.94	 , 468.755
4.516568034	 ,-64.4425	 , 461.532
4.544850680	 ,-66.275	 , 450.73
4.582975090	 ,-74.02	 , 446.835
4.617675250	 ,-83.605	 , 445.897
4.650422375	 ,-91.995	 , 452.152
4.681242474	 ,-98.41	 , 450.32
4.712363778	 ,-108.415	 , 454.777
4.737625125	 ,-113.35	 , 455.11
4.767003665	 ,-115.02	 , 447.645
4.803063849	 ,-118.552	 , 454.517
4.839360297	 ,-124.272	 , 450.71
4.875343964	 ,-125.962	 , 448.412
4.907847228	 ,-126.522	 , 446.945
4.941216781	 ,-131.482	 , 450.71
4.973397829	 ,-135.462	 , 444.735
5.15579499	 ,-137.552	 , 442.992
5.45104455	 ,-140.325	 , 443.277
5.73186041	 ,-145.377	 , 436.797
5.102603587	 ,-150.552	 , 434.092
5.139099117	 ,-146.865	 , 419.94
5.174969007	 ,-145.702	 , 421.152
5.210905579	 ,-139.03	 , 420.372
5.243566169	 ,-140.12	 , 415.297
5.276234889	 ,-143.482	 , 425.402
5.309131819	 ,-140.33	 , 418.07
5.339928421	 ,-140.2	 , 419.065
5.371146679	 ,-141.05	 , 412.098
5.400900677	 ,-146.107	 , 419.37
5.429302991	 ,-155.575	 , 415.255
5.456580000	 ,-163.95	 , 414.527
5.491929597	 ,-169.06	 , 413.168
5.523328200	 ,-175.215	 , 418.495
5.554814100	 ,-182.177	 , 420.693
5.586323792	 ,-188.847	 , 422.418
5.611033134	 ,-189.825	 , 416.113
5.635349615	 ,-189.315	 , 419.005
5.659720775	 ,-189.29	 , 418.58
5.690878771	 ,-190.185	 , 412.783
5.726179632	 ,-194.557	 , 412.245
5.757499274	 ,-202.515	 , 404.213
5.788584190	 ,-208.65	 , 408.793
5.816967986	 ,-216.125	 , 409.193
5.846905293	 ,-219.61	 , 398.855
5.879297736	 ,-221.085	 , 393.105
5.909442761	 ,-220.462	 , 378.235
5.946936061	 ,-222.045	 , 366.363
5.983172628	 ,-220.105	 , 352.053
6.13430744	 ,-212.45	 , 340.733
6.46131800	 ,-206.762	 , 333.253
6.76970572	 ,-208.753	 , 328.155
6.108529213	 ,-209.545	 , 323.07
6.137672820	 ,-207.602	 , 313.508
6.166956678	 ,-205.625	 , 309.668
6.195302709	 ,-206.895	 , 299.675
6.222267670	 ,-203.115	 , 289.168
6.250532742	 ,-204.105	 , 278.365
6.284785978	 ,-204.41	 , 267.58
6.319220540	 ,-198.215	 , 257.6
6.352442493	 ,-197.292	 , 246.498
6.384825022	 ,-203.915	 , 237.193
6.423641981	 ,-202.847	 , 236.498
6.454406475	 ,-194.277	 , 227.858
6.482065885	 ,-193.27	 , 219.398
6.509018484	 ,-185.335	 , 214.553
6.545446720	 ,-184.235	 , 204.46
6.580114437	 ,-186.005	 , 201.548
6.607072623	 ,-186.167	 , 191.333
6.640548469	 ,-180.917	 , 182.643
6.672214195	 ,-174.647	 , 174.77
6.702884828	 ,-170.805	 , 167.903
6.735590136	 ,-168.872	 , 163.555
6.761875490	 ,-164.18	 , 158.108
6.786742325	 ,-158.417	 , 155.61
6.813640980	 ,-156.03	 , 145.603
6.846718451	 ,-155.645	 , 141.473
6.878714223	 ,-152.287	 , 138.09
6.909359991	 ,-151.682	 , 133.205
6.939834021	 ,-147.425	 , 127.003
6.969310883	 ,-146.975	 , 127.285
6.997180157	 ,-146.367	 , 123.515
7.23991852	 ,-144.515	 , 122.34
7.53418378	 ,-145.852	 , 117.843
7.79329734	 ,-144.617	 , 114.008
7.113343284	 ,-146.907	 , 103.18
7.147696652	 ,-139.51	 , 97.45
7.172801910	 ,-140.577	 , 89.0725
7.204678087	 ,-141.497	 , 80.6775
7.232005305	 ,-142.147	 , 81.235
7.260027424	 ,-138.39	 , 73.46
7.288316712	 ,-138.852	 , 70.0075
7.325169721	 ,-138.102	 , 67.04
7.351550977	 ,-133.985	 , 62.88
7.382242396	 ,-133.917	 , 62.3375
7.415406864	 ,-133.13	 , 60.5925
7.447420509	 ,-134.027	 , 57.7025
7.479258862	 ,-135.18	 , 52.8
